date,ticker,news_window_days,raw_news_count,filtered_news_count,news_count,positive_news,negative_news,neutral_news,high_impact_news,risk_news_count,risk_weighted_hits,historical_catalyst_score,historical_risk_score,news_start_date,news_end_date,top_news_titles
2026-03-27,AMAT,30,68,59,59,4,0,55,4,27,27.9,0.8833,0.25,2026-02-25,2026-03-27,"Can HBM and Packaging Demand Accelerate AMAT's Revenue Growth? | Applied Materials Raises Quarterly Cash Dividend by 15 Percent | AMAT Climbs 33.4% in 3 Months: Time to Buy, Sell or Hold the Stock?"
2026-03-27,CSCO,30,55,45,45,3,1,41,8,19,18.6,0.7667,0.25,2026-02-25,2026-03-27,Cisco Expands AI Agentic Security Portfolio: Will the Tech Deliver? | Cisco Bets on New Portfolio to Reignite Security Growth: What's Ahead? | Cisco is Overvalued at 4.95X PS: Should You Still Buy the Stock?
2026-03-27,GOOGL,30,363,263,263,16,4,243,58,33,37.2,0.8409,0.7722,2026-02-25,2026-03-27,"Microsoft, Meta, and Alphabet Stocks Are All Getting Hammered. But I Think Only 1 Is Worth Buying | Meta, Google face ‘Big Tobacco'-like reckoning after landmark verdicts on social media addiction | 'FOUND NEGLIGENT': Bombshell verdict ROCKS Meta and Google"
2026-03-27,ISRG,30,57,52,52,10,0,42,5,19,19.9,0.9417,0.25,2026-02-25,2026-03-27,"ISRG's Margins Contract in Q4: Will Tariffs Continue to Hurt in 2026? | 2 Stocks That Could Create Lasting Generational Wealth | Intuitive Surgical Stock: Buy, Sell, or Hold?"
2026-03-27,NFLX,30,340,272,272,19,6,247,75,37,38.6,0.8185,0.7603,2026-02-25,2026-03-27,"Netflix is raising prices again, and stream-flation shows no signs of slowing | The Best Stocks to Invest $1,000 in Right Now | Netflix Raises Prices Across U.S. Subscription Tiers"
2026-04-02,CSCO,30,55,42,42,4,1,37,8,19,18.6,0.8,0.25,2026-03-03,2026-04-02,Cisco Expands AI Agentic Security Portfolio: Will the Tech Deliver? | Cisco Bets on New Portfolio to Reignite Security Growth: What's Ahead? | Cisco is Overvalued at 4.95X PS: Should You Still Buy the Stock?
2026-04-02,GOOGL,30,343,273,273,14,7,252,57,43,48.2,0.7565,0.6815,2026-03-03,2026-04-02,"Got $10,000? This Is Exactly How I'd Split It Across These 5 AI Stocks Right Now | Nvidia At A Discount? Tech Valuations Look Attractive And Mark Gibbens Says It's 'A Great Time to Get In' On PLTR, NVDA And GOOGL | Future shares flop on profit warning as Google search changes hit ad revenues"
2026-04-02,ISRG,30,51,46,46,9,0,37,5,17,17.7,0.9364,0.25,2026-03-03,2026-04-02,"ISRG's Margins Contract in Q4: Will Tariffs Continue to Hurt in 2026? | 2 Stocks That Could Create Lasting Generational Wealth | Intuitive Surgical Stock: Buy, Sell, or Hold?"
2026-04-02,META,30,496,418,418,15,18,385,70,77,82.8,0.62,0.6184,2026-03-03,2026-04-02,WhatsApp Whistle-Blower Suit Is Dismissed | Meta: Time To Go Bear Hunting In Value Valley | Meta was finally held accountable for harming teens. Now what?
2026-04-02,NFLX,30,268,202,202,15,4,183,46,59,60.9,0.8333,0.3372,2026-03-03,2026-04-02,"Netflix faces key quarter after strategic reset, says Bank of America | 4 Broadcast Radio & TV Stocks to Watch From a Challenging Industry | AMZN, AAPL and NFLX Forecasts – Streamers Trying to Jump"
