date,ticker,ml_datadate,ml_available_from,ml_bucket,ml_model,ml_score,ml_ensemble_score,z_ml_score,mom_20d,mom_60d,vol_20d,drawdown_60d,z_mom_20d,z_mom_60d,z_vol_20d,z_drawdown_60d,technical_score,z_technical_score,finrl_score,rank,selected
2026-01-16,TSLA,2025-09-30,2025-12-01,cyclical,RF,0.24304363650000047,0.18968963578861464,3.7035993048749867,-0.06369047028131603,-0.011522833333000082,0.01972030265053863,-0.16499775729647503,-0.6961868199099588,-0.14920939848296147,0.6857971533327134,-0.3386316086894319,-0.4674307513018703,-0.6454577638335437,1.9639764773915744,1,1
2026-01-16,AMAT,2025-09-30,2025-12-01,growth_tech,Stacking,0.0506727669886239,0.06292579162401028,-0.08493766044962264,0.3171547749476995,0.4497833104292561,0.02790512598253866,-0.09769209686654534,2.627777820784247,2.6448296660492705,2.1153065034377327,0.8994909251118557,1.7494546284264691,2.4157569206719707,0.9153401719990147,2,1
2026-01-16,GOOGL,2025-09-30,2025-12-01,growth_tech,Stacking,0.07018480401194714,0.08557875077180907,0.29933088145282377,0.11215962485286002,0.3184374603080866,0.009352111597056753,-0.08201186250738457,0.8386084955395524,1.8492941173359265,-1.1250453601129384,1.1879369691941903,1.2702468402197549,1.7540366839822572,0.8812132024645972,3,1
2026-01-16,COST,2025-09-30,2025-12-01,defensive,RF,0.04966891155153702,0.038947853266654925,-0.1047075114717953,0.11703467983546112,0.029304852901371525,0.012535411357471582,-0.0989514817398367,0.8811573013513772,0.09807573265131976,-0.5690704065780405,0.876323887148179,0.5597823766700368,0.7729826933134916,0.24636857044231947,4,1
2026-01-16,AMD,2025-09-30,2025-12-01,growth_tech,Stacking,0.07505881327442997,0.1126243668211562,0.39531924137006536,0.17020847567924946,-0.026047124228198104,0.025328965140529205,-0.2505201427224759,1.3452508391083218,-0.2371801239860833,1.6653705840356643,-1.9118602474694812,0.014095679895901797,0.019464200846825725,0.24497722516076947,5,1
2026-01-16,CSCO,2025-09-30,2025-12-01,growth_tech,Stacking,0.056077392911248275,0.049238557146736694,0.02150062276665803,-0.0053638489911264076,0.06889624251285453,0.009159992020712684,-0.07445064963956438,-0.18712013414060397,0.3378728623652682,-1.1585997472489833,1.3270294017580557,0.3499003504347553,0.48316439842088515,0.2061661330283489,6,0
2026-01-16,TXN,2025-09-30,2025-12-01,growth_tech,Stacking,0.05620349503492359,0.031545503025532995,0.023984068197680616,0.09794260046016445,0.06884541343341577,0.023560760506142427,-0.10158209466591395,0.7145242724352575,0.33756500079549184,1.356547173288047,0.8279323979230493,0.28326862305162304,0.3911551208170931,0.1708524892454456,7,0
2026-01-16,NVDA,2025-09-30,2025-12-01,growth_tech,Stacking,0.051270972097956787,0.05857949009308425,-0.07315665548088611,0.08944647788927051,0.02804350496049346,0.015224040911249029,-0.17431645591639255,0.6403712893996594,0.09043600040748277,-0.0994914150478258,-0.5100539032382604,0.2517194378358305,0.34759002270696737,0.0951420157942553,8,0
2026-01-16,AVGO,2025-09-30,2025-12-01,growth_tech,Stacking,0.05663029125072373,0.05081976758652647,0.03238935972818375,0.0808630319762571,0.02837487160635943,0.01937501056470455,-0.2105480118280899,0.5654561603082852,0.09244302191749695,0.6254906268268484,-1.1765521668672978,0.047058711083680954,0.06498162634863859,0.04542626637636568,9,0
2026-01-16,AMZN,2025-09-30,2025-12-01,cyclical,RF,0.0385132606496605,0.018400740299499275,-0.32440603402547435,0.0806706309037124,0.076971564346485,0.015063206643308135,-0.1451181126391794,0.5637769103505086,0.3867834718746481,-0.1275817085719283,0.027064765983015753,0.38272871218042104,0.5284958638917818,0.016754725141428145,10,0
2026-01-16,AAPL,2025-09-30,2025-12-01,growth_tech,Stacking,0.055621831251935316,0.052880933788374586,0.01252882682543476,-0.05999853247313336,-0.026609814260211584,0.0066489685103804244,-0.10713160816713863,-0.6639640972062482,-0.24058822498783108,-1.5971591932811997,0.7258462186387087,-0.03763301677218932,-0.05196603514945153,-0.013269117964519758,11,0
2026-01-16,META,2025-09-30,2025-12-01,growth_tech,Stacking,0.07737858885091906,0.08506973872429933,0.4410047214279822,-0.04503463736226532,-0.15344163840145564,0.01247822476941271,-0.2162118482955152,-0.5333612897439357,-1.008783221018822,-0.5790582534764762,-1.2807413764120925,-0.6076340428738999,-0.8390592819367931,-0.07102087991792794,12,0
2026-01-16,MSFT,2025-09-30,2025-12-01,growth_tech,Stacking,0.060184816164550514,0.020868385760260857,0.10239189734941982,-0.03415103368752259,-0.10999365514912651,0.010400383915781637,-0.1559859763647381,-0.4383707017521649,-0.7456274748323731,-0.9419607631351663,-0.1728552242071748,-0.3123093048426391,-0.4312563197151632,-0.1110673894764134,13,0
2026-01-16,QCOM,2025-09-30,2025-12-01,growth_tech,Stacking,0.056284380731914975,0.04745805971541282,0.025577024832935526,-0.0749680483382329,-0.050911650134650266,0.017832654225027042,-0.14966970280366276,-0.7946159618343085,-0.3877795851966089,0.3561124473195842,-0.05666409591771652,-0.5126525162422457,-0.7079028194780975,-0.26781491289147774,14,0
2026-01-16,AMGN,2025-09-30,2025-12-01,defensive,RF,0.016664531245288324,0.008906111003527551,-0.7546932142211408,0.01349651523590456,0.10502289205535198,0.015354048168822777,-0.09150113314785258,-0.022509482999176586,0.5566847543317982,-0.076785171706374,1.0133769138548048,0.2986913379578954,0.41245177502291785,-0.2878352185235173,15,0
2026-01-16,NFLX,2025-09-30,2025-12-01,growth_tech,Stacking,0.052250144476050635,0.024883101089937076,-0.05387291070572426,-0.07163203766163362,-0.291094385261093,0.00953805576680112,-0.23974082073434122,-0.7654997219208333,-1.8425183820753555,-1.0925695303405523,-1.7135690284641556,-0.9585527957900404,-1.3236299545201862,-0.561775728231509,16,0
2026-01-16,ADBE,2025-09-30,2025-12-01,growth_tech,Stacking,0.053681900817040655,0.008870093764311575,-0.02567601251133411,-0.16505951598842805,-0.171808124103058,0.01743851298113128,-0.1772387760713896,-1.580921834492423,-1.1200253521335917,0.28727423657798035,-0.5638114982424774,-1.123849892354671,-1.5518825759397834,-0.6361586378827139,17,0
